x,y
1751,6647
1955,6380
2145,6532
1536,7460
1396,7993
431,9653
520,9711
1044,9873
862,10415
977,10473
304,10635
3923,7079
4761,6723
4825,6355
5282,7142
5574,7650
6171,8064
9892,9619
10146,9555
9956,8920
10591,8675
10718,8675
11877,9226
12277,9226
12677,9226
12677,9626
12677,10026
12277,10026
11877,10026
11877,9626
11877,10626
12277,10626
12677,10626
12677,11026
12677,11426
12277,11426
11877,11426
11877,11026
11877,5826
12277,5826
12677,5826
12677,5426
12677,5026
12277,5026
11877,5026
11877,5426
11877,4426
12277,4426
12677,4426
12677,4026
12677,3626
12277,3626
11877,3626
11877,4026
11877,3026
12277,3026
12677,3026
12677,2626
12677,2226
12277,2226
11877,2226
11877,2626
11877,1626
12277,1626
12677,1626
12677,1226
12677,826
12277,826
11877,826
11877,1226
5677,4476
5536,3911
4571,4602
2907,4285
2907,4031
2844,3586
2844,3142
2717,2951
1066,2761
1066,2443
1066,2126
1066,1808
1066,1491
1891,5110
1853,5555
9726,3102
10185,3562
10528,6215
10541,6952
10653,7231
10641,7460
10210,7420
10210,7265
10210,7110
9448,7110
9448,7265
9448,7420
9448,7880
9448,8035
9448,8190
10210,8190
10210,8035
10210,7880
10121,8603
10172,9111
8559,9174
7797,9174
7811,7730
7921,7620
8030,7511
8356,7185
8465,7076
8575,6966
8036,6427
7926,6537
7817,6647
7492,6972
7382,7081
7272,7191
8622,6126
8036,5825
7926,5715
7817,5606
7492,5280
7382,5171
7272,5061
7921,4632
8030,4742
7811,4522
8356,5067
8465,5176
8575,5286
9384,6126
6146,3973
7797,3078
8559,3078
4482,5138
4177,3078
3415,3078
1002,4094
748,4094
748,4348
748,4602
748,4856
748,5110
748,5364
748,5618
748,5872
1002,5872
1002,5618
1002,5364
1002,5110
1002,4856
1002,4602
1002,4348
1002,6126
748,6126
748,6380
748,6634
748,6888
748,7142
748,7396
748,7650
748,7904
748,8158
1002,8158
1002,7904
1002,7650
1002,7396
1002,7142
1002,6888
1002,6634
1002,6380
4431,7421
4685,7421
4939,7421
4939,7675
4685,7675
4431,7675
4177,9174
3415,9174
10870,6770
10870,6270
11211,6567
11770,6567
11770,6986
11211,6986
12277,5426
12277,4026
12277,2626
12277,1226
12277,9626
12277,11026
11770,8476
11211,8476
11211,7726
11770,7726
8831,10381
8416,10381
6406,9355
6406,9225
6406,9095
6276,9095
6276,9225
6276,9355
6146,9355
6146,9225
6146,9095
6016,9095
6016,9225
6016,9355
5886,9355
5886,9225
5886,9095
5970,9736
5447,9748
5351,9758
5254,9758
5386,9931
5483,9931
4005,10381
3588,10375
2031,9212
2298,8984
1806,8653
3707,8007
3707,7204
3834,6698
5865,7310
5956,7646
6054,7648
6501,6621
6616,4970
6273,4843
6489,4587
6607,4601
6415,4201
6067,4363
6079,3208
5949,3208
5949,3078
5949,2948
6079,2948
6079,3078
6209,3078
6209,2948
6339,2948
6339,3078
6339,3208
6209,3208
6469,3208
6469,3078
6469,2948
5060,2189
4357,4894
1054,2591
1054,2277
1054,1966
1066,1643
1423,1452
